JD,mag_L,err_L,mag_R,err_R,mag_G,err_G,mag_B,err_B
2459921.3392967707,10.528446634869953,0.0072049746068227,,,,,,
2459921.3483437267,10.540581847086072,0.0067919908105861,,,,,,
2459921.349423241,10.562093543693534,0.0080212598265456,,,,,,
2459921.3519372223,10.561714831889535,0.0075349756463537,,,,,,
2459921.3529812037,10.563079299878284,0.0077064168362018,,,,,,
2459921.355501956,10.580347353595045,0.0050842664805619,,,,,,
2459921.356558287,10.576002827119517,0.0062822065214354,,,,,,
2459921.3590804166,10.571075336133063,0.007161480814503,,,,,,
2459921.360127824,10.58420152917286,0.0063369908549319,,,,,,
2459921.362643171,10.602598307085309,0.0074508837454129,,,,,,
2459921.363686829,10.57931695149582,0.0088311300426644,,,,,,
2459921.366196389,10.61530924542982,0.0081570422784276,,,,,,
2459921.3672407293,10.60781636351788,0.0084927507856002,,,,,,
2459921.3697612383,10.630029279346877,0.0086020496587197,,,,,,
2459921.3707998265,10.651164134065583,0.0091476404152461,,,,,,
2459921.3733145255,10.651561664958244,0.0089477649543337,,,,,,
2459921.3743840856,10.653842447989112,0.0069309974801719,,,,,,
2459921.3769043866,10.668281361319464,0.009175238623051,,,,,,
2459921.377946875,10.668267175614476,0.008884191650169,,,,,,
2459921.3804673264,10.71269568426131,0.0069522660941934,,,,,,
2459921.381503912,10.715959378033189,0.0088263319536927,,,,,,
2459921.384026516,10.732733452002218,0.0101904700146606,,,,,,
2459921.385071956,10.7613769225274,0.0068153270013257,,,,,,
2459921.3875968633,10.779431910457454,0.0064906982772556,,,,,,
2459921.388631632,10.77216161841649,0.009979163590987,,,,,,
2459921.391150139,10.820540649219302,0.0089104570897516,,,,,,
2459921.3922117823,10.83736278694653,0.0127227421690662,,,,,,
2459921.394726516,10.880870614833777,0.0073798069782927,,,,,,
2459921.3973101387,10.887060477098837,0.0086801226588949,,,,,,
2459921.399819097,10.915273802460971,0.0102207328046507,,,,,,
2459921.400868391,10.949380545707378,0.0104234166607978,,,,,,
2459921.403383912,11.002152318897496,0.0080838262115227,,,,,,
2459921.404438773,10.993860588806868,0.0088944722042436,,,,,,
2459921.406960278,11.027905682408583,0.0091722787614911,,,,,,
2459921.4080045256,11.025511733224358,0.0077310764759316,,,,,,
2459921.4105135878,11.060780466353124,0.0108350601146709,,,,,,
2459921.411623449,11.079421362860222,0.0122296056984285,,,,,,
2459921.4141362268,11.08339037212861,0.0062171392732619,,,,,,
2459921.415199676,11.091760586550352,0.010541463278436,,,,,,
2459921.417724236,11.108344475050751,0.0085671256241248,,,,,,
2459921.4188125925,11.08531806788583,0.0151227856274383,,,,,,
2459921.421323727,11.081787445335204,0.0098003483073774,,,,,,
2459921.422377766,11.074913857762123,0.0134277043982059,,,,,,
2459921.4248886113,11.07909067297044,0.0119489497706942,,,,,,
2459921.425933935,11.05244003985028,0.0154494035170427,,,,,,
2459921.428453426,11.046591864157165,0.0205637427010477,,,,,,
2459921.4295106484,11.049046643023342,0.0109240110202592,,,,,,
2459921.4320297455,11.070791258390877,0.0119197040024563,,,,,,
2459921.433078171,11.04145776605959,0.0145023256692371,,,,,,
2459921.4355951734,11.049512197555815,0.0107189805260864,,,,,,
2459921.4366422687,11.065664214102044,0.0128038142408073,,,,,,
2459921.439160984,11.072373227380751,0.009776220474126,,,,,,
2459921.440224178,11.08835084772419,0.0148495694441903,,,,,,
2459921.4427366205,11.088379179724082,0.0181675782552439,,,,,,
2459921.443809838,11.10244779399074,0.0090679541834755,,,,,,
2459921.446323831,11.060161338363152,0.0129672922690659,,,,,,
2459921.44884669,11.09638773732285,0.0123226028379838,,,,,,
